LongEaredOwl; LongEaredOwl; LongEaredOwl; SnowyOwl; BarnOwl; LongEaredOwl; LongEaredOwl; BarnOwl; BarnOwl; LongEaredOwl; SnowyOwl; SnowyOwl; LongEaredOwl; SnowyOwl; BarnOwl; LongEaredOwl; LongEaredOwl; BarnOwl; LongEaredOwl; BarnOwl; SnowyOwl; SnowyOwl; SnowyOwl; BarnOwl; SnowyOwl; SnowyOwl; SnowyOwl; BarnOwl; LongEaredOwl; BarnOwl; LongEaredOwl; BarnOwl; SnowyOwl; LongEaredOwl; SnowyOwl; LongEaredOwl; BarnOwl; BarnOwl; LongEaredOwl; SnowyOwl; LongEaredOwl; BarnOwl; LongEaredOwl; LongEaredOwl; LongEaredOwl; LongEaredOwl; LongEaredOwl; LongEaredOwl; BarnOwl; BarnOwl; LongEaredOwl; LongEaredOwl; BarnOwl; BarnOwl; LongEaredOwl; SnowyOwl; BarnOwl; LongEaredOwl; BarnOwl; BarnOwl; LongEaredOwl; LongEaredOwl; BarnOwl; LongEaredOwl; BarnOwl; SnowyOwl; SnowyOwl; BarnOwl; BarnOwl; BarnOwl; BarnOwl; BarnOwl; LongEaredOwl; LongEaredOwl; BarnOwl; LongEaredOwl; BarnOwl; BarnOwl; LongEaredOwl; BarnOwl; LongEaredOwl; BarnOwl; BarnOwl; LongEaredOwl; SnowyOwl; LongEaredOwl; BarnOwl; LongEaredOwl; LongEaredOwl; LongEaredOwl; 

Accuracy: 77.77777777777779%Predicted: SnowyOwl; BarnOwl; BarnOwl; BarnOwl; SnowyOwl; LongEaredOwl; BarnOwl; BarnOwl; BarnOwl; SnowyOwl; SnowyOwl; SnowyOwl; BarnOwl; BarnOwl; SnowyOwl; BarnOwl; SnowyOwl; BarnOwl; LongEaredOwl; BarnOwl; LongEaredOwl; BarnOwl; SnowyOwl; LongEaredOwl; LongEaredOwl; LongEaredOwl; LongEaredOwl; LongEaredOwl; LongEaredOwl; BarnOwl; SnowyOwl; BarnOwl; BarnOwl; LongEaredOwl; BarnOwl; BarnOwl; BarnOwl; LongEaredOwl; SnowyOwl; BarnOwl; SnowyOwl; SnowyOwl; BarnOwl; SnowyOwl; LongEaredOwl; 
Actual: LongEaredOwl; SnowyOwl; SnowyOwl; SnowyOwl; SnowyOwl; SnowyOwl; BarnOwl; LongEaredOwl; LongEaredOwl; SnowyOwl; BarnOwl; SnowyOwl; LongEaredOwl; LongEaredOwl; LongEaredOwl; LongEaredOwl; SnowyOwl; SnowyOwl; LongEaredOwl; LongEaredOwl; BarnOwl; SnowyOwl; LongEaredOwl; BarnOwl; SnowyOwl; BarnOwl; BarnOwl; BarnOwl; BarnOwl; SnowyOwl; LongEaredOwl; SnowyOwl; SnowyOwl; LongEaredOwl; LongEaredOwl; LongEaredOwl; SnowyOwl; LongEaredOwl; BarnOwl; LongEaredOwl; SnowyOwl; LongEaredOwl; SnowyOwl; SnowyOwl; SnowyOwl; 
Accuracy: 93.33333333333333%Predicted: BarnOwl; SnowyOwl; BarnOwl; BarnOwl; SnowyOwl; BarnOwl; LongEaredOwl; SnowyOwl; BarnOwl; SnowyOwl; SnowyOwl; LongEaredOwl; SnowyOwl; BarnOwl; SnowyOwl; LongEaredOwl; BarnOwl; SnowyOwl; LongEaredOwl; SnowyOwl; SnowyOwl; SnowyOwl; BarnOwl; LongEaredOwl; LongEaredOwl; BarnOwl; SnowyOwl; LongEaredOwl; LongEaredOwl; SnowyOwl; SnowyOwl; SnowyOwl; SnowyOwl; SnowyOwl; SnowyOwl; SnowyOwl; LongEaredOwl; SnowyOwl; BarnOwl; SnowyOwl; SnowyOwl; LongEaredOwl; LongEaredOwl; SnowyOwl; SnowyOwl; 
Actual: BarnOwl; SnowyOwl; BarnOwl; LongEaredOwl; SnowyOwl; BarnOwl; LongEaredOwl; SnowyOwl; BarnOwl; BarnOwl; BarnOwl; LongEaredOwl; BarnOwl; SnowyOwl; SnowyOwl; LongEaredOwl; LongEaredOwl; SnowyOwl; LongEaredOwl; BarnOwl; SnowyOwl; SnowyOwl; BarnOwl; LongEaredOwl; LongEaredOwl; BarnOwl; SnowyOwl; LongEaredOwl; LongEaredOwl; SnowyOwl; SnowyOwl; BarnOwl; BarnOwl; SnowyOwl; SnowyOwl; SnowyOwl; LongEaredOwl; SnowyOwl; BarnOwl; SnowyOwl; BarnOwl; LongEaredOwl; LongEaredOwl; SnowyOwl; SnowyOwl; 
Accuracy: 77.77777777777779%Predicted: SnowyOwl; BarnOwl; BarnOwl; LongEaredOwl; SnowyOwl; SnowyOwl; LongEaredOwl; SnowyOwl; LongEaredOwl; LongEaredOwl; BarnOwl; LongEaredOwl; LongEaredOwl; LongEaredOwl; BarnOwl; LongEaredOwl; SnowyOwl; BarnOwl; BarnOwl; LongEaredOwl; BarnOwl; BarnOwl; BarnOwl; BarnOwl; LongEaredOwl; LongEaredOwl; LongEaredOwl; BarnOwl; LongEaredOwl; BarnOwl; LongEaredOwl; BarnOwl; LongEaredOwl; SnowyOwl; LongEaredOwl; BarnOwl; LongEaredOwl; SnowyOwl; BarnOwl; LongEaredOwl; SnowyOwl; LongEaredOwl; SnowyOwl; BarnOwl; LongEaredOwl; 
Actual: SnowyOwl; BarnOwl; SnowyOwl; LongEaredOwl; SnowyOwl; SnowyOwl; LongEaredOwl; SnowyOwl; LongEaredOwl; LongEaredOwl; BarnOwl; LongEaredOwl; LongEaredOwl; LongEaredOwl; BarnOwl; LongEaredOwl; SnowyOwl; BarnOwl; BarnOwl; LongEaredOwl; SnowyOwl; BarnOwl; BarnOwl; BarnOwl; LongEaredOwl; LongEaredOwl; LongEaredOwl; SnowyOwl; LongEaredOwl; SnowyOwl; LongEaredOwl; BarnOwl; LongEaredOwl; SnowyOwl; BarnOwl; SnowyOwl; BarnOwl; SnowyOwl; BarnOwl; LongEaredOwl; SnowyOwl; LongEaredOwl; SnowyOwl; BarnOwl; LongEaredOwl; 
Accuracy: 84.44444444444444%Predicted: BarnOwl; BarnOwl; SnowyOwl; BarnOwl; LongEaredOwl; LongEaredOwl; LongEaredOwl; BarnOwl; SnowyOwl; LongEaredOwl; LongEaredOwl; BarnOwl; BarnOwl; LongEaredOwl; BarnOwl; BarnOwl; LongEaredOwl; LongEaredOwl; LongEaredOwl; LongEaredOwl; BarnOwl; BarnOwl; SnowyOwl; LongEaredOwl; LongEaredOwl; BarnOwl; BarnOwl; BarnOwl; LongEaredOwl; BarnOwl; LongEaredOwl; BarnOwl; BarnOwl; SnowyOwl; LongEaredOwl; SnowyOwl; SnowyOwl; SnowyOwl; BarnOwl; BarnOwl; SnowyOwl; SnowyOwl; LongEaredOwl; SnowyOwl; BarnOwl; 
Actual: SnowyOwl; BarnOwl; SnowyOwl; SnowyOwl; LongEaredOwl; LongEaredOwl; LongEaredOwl; BarnOwl; SnowyOwl; LongEaredOwl; LongEaredOwl; BarnOwl; BarnOwl; LongEaredOwl; SnowyOwl; BarnOwl; LongEaredOwl; LongEaredOwl; LongEaredOwl; LongEaredOwl; BarnOwl; BarnOwl; SnowyOwl; LongEaredOwl; LongEaredOwl; BarnOwl; SnowyOwl; SnowyOwl; LongEaredOwl; BarnOwl; LongEaredOwl; BarnOwl; BarnOwl; SnowyOwl; LongEaredOwl; SnowyOwl; SnowyOwl; SnowyOwl; SnowyOwl; BarnOwl; SnowyOwl; SnowyOwl; LongEaredOwl; SnowyOwl; SnowyOwl; 
Accuracy: 84.44444444444444%Predicted: SnowyOwl; BarnOwl; SnowyOwl; BarnOwl; BarnOwl; LongEaredOwl; BarnOwl; SnowyOwl; SnowyOwl; BarnOwl; SnowyOwl; BarnOwl; BarnOwl; LongEaredOwl; LongEaredOwl; LongEaredOwl; SnowyOwl; BarnOwl; BarnOwl; SnowyOwl; BarnOwl; BarnOwl; SnowyOwl; LongEaredOwl; LongEaredOwl; SnowyOwl; LongEaredOwl; SnowyOwl; SnowyOwl; LongEaredOwl; LongEaredOwl; BarnOwl; LongEaredOwl; SnowyOwl; BarnOwl; BarnOwl; LongEaredOwl; LongEaredOwl; BarnOwl; LongEaredOwl; SnowyOwl; SnowyOwl; LongEaredOwl; LongEaredOwl; LongEaredOwl; 
Actual: BarnOwl; BarnOwl; SnowyOwl; BarnOwl; BarnOwl; LongEaredOwl; BarnOwl; SnowyOwl; SnowyOwl; BarnOwl; SnowyOwl; BarnOwl; BarnOwl; LongEaredOwl; LongEaredOwl; LongEaredOwl; SnowyOwl; BarnOwl; BarnOwl; SnowyOwl; SnowyOwl; BarnOwl; SnowyOwl; LongEaredOwl; LongEaredOwl; BarnOwl; LongEaredOwl; SnowyOwl; SnowyOwl; LongEaredOwl; LongEaredOwl; BarnOwl; LongEaredOwl; SnowyOwl; BarnOwl; BarnOwl; LongEaredOwl; LongEaredOwl; BarnOwl; LongEaredOwl; SnowyOwl; SnowyOwl; LongEaredOwl; LongEaredOwl; LongEaredOwl; 
Accuracy: 93.33333333333333%Predicted: BarnOwl; BarnOwl; BarnOwl; BarnOwl; BarnOwl; LongEaredOwl; BarnOwl; LongEaredOwl; SnowyOwl; BarnOwl; SnowyOwl; BarnOwl; SnowyOwl; LongEaredOwl; BarnOwl; BarnOwl; SnowyOwl; BarnOwl; LongEaredOwl; SnowyOwl; BarnOwl; BarnOwl; BarnOwl; BarnOwl; BarnOwl; BarnOwl; BarnOwl; LongEaredOwl; SnowyOwl; SnowyOwl; BarnOwl; LongEaredOwl; SnowyOwl; BarnOwl; BarnOwl; SnowyOwl; LongEaredOwl; LongEaredOwl; LongEaredOwl; SnowyOwl; BarnOwl; SnowyOwl; BarnOwl; SnowyOwl; LongEaredOwl; 
Actual: BarnOwl; BarnOwl; BarnOwl; SnowyOwl; BarnOwl; LongEaredOwl; SnowyOwl; LongEaredOwl; SnowyOwl; BarnOwl; SnowyOwl; LongEaredOwl; SnowyOwl; LongEaredOwl; BarnOwl; BarnOwl; SnowyOwl; BarnOwl; LongEaredOwl; SnowyOwl; SnowyOwl; BarnOwl; LongEaredOwl; BarnOwl; BarnOwl; BarnOwl; BarnOwl; LongEaredOwl; SnowyOwl; SnowyOwl; BarnOwl; LongEaredOwl; SnowyOwl; BarnOwl; SnowyOwl; SnowyOwl; LongEaredOwl; LongEaredOwl; LongEaredOwl; SnowyOwl; SnowyOwl; SnowyOwl; SnowyOwl; SnowyOwl; LongEaredOwl; 
Accuracy: 82.22222222222221%Predicted: BarnOwl; LongEaredOwl; LongEaredOwl; LongEaredOwl; LongEaredOwl; BarnOwl; SnowyOwl; BarnOwl; BarnOwl; BarnOwl; SnowyOwl; LongEaredOwl; BarnOwl; SnowyOwl; SnowyOwl; LongEaredOwl; SnowyOwl; BarnOwl; SnowyOwl; SnowyOwl; LongEaredOwl; LongEaredOwl; SnowyOwl; BarnOwl; BarnOwl; SnowyOwl; SnowyOwl; LongEaredOwl; BarnOwl; SnowyOwl; LongEaredOwl; LongEaredOwl; BarnOwl; BarnOwl; SnowyOwl; LongEaredOwl; SnowyOwl; SnowyOwl; LongEaredOwl; BarnOwl; LongEaredOwl; BarnOwl; BarnOwl; BarnOwl; LongEaredOwl; 
Actual: SnowyOwl; LongEaredOwl; BarnOwl; LongEaredOwl; LongEaredOwl; SnowyOwl; SnowyOwl; SnowyOwl; BarnOwl; BarnOwl; SnowyOwl; LongEaredOwl; BarnOwl; SnowyOwl; SnowyOwl; LongEaredOwl; SnowyOwl; BarnOwl; SnowyOwl; SnowyOwl; LongEaredOwl; LongEaredOwl; SnowyOwl; BarnOwl; BarnOwl; SnowyOwl; SnowyOwl; LongEaredOwl; BarnOwl; SnowyOwl; LongEaredOwl; BarnOwl; SnowyOwl; BarnOwl; SnowyOwl; LongEaredOwl; SnowyOwl; BarnOwl; LongEaredOwl; BarnOwl; LongEaredOwl; BarnOwl; BarnOwl; BarnOwl; LongEaredOwl; 
Accuracy: 84.44444444444444%Predicted: LongEaredOwl; BarnOwl; BarnOwl; BarnOwl; SnowyOwl; LongEaredOwl; LongEaredOwl; SnowyOwl; SnowyOwl; BarnOwl; LongEaredOwl; SnowyOwl; SnowyOwl; LongEaredOwl; LongEaredOwl; BarnOwl; LongEaredOwl; LongEaredOwl; SnowyOwl; LongEaredOwl; LongEaredOwl; SnowyOwl; SnowyOwl; BarnOwl; BarnOwl; LongEaredOwl; SnowyOwl; LongEaredOwl; SnowyOwl; SnowyOwl; BarnOwl; SnowyOwl; LongEaredOwl; BarnOwl; SnowyOwl; LongEaredOwl; BarnOwl; LongEaredOwl; SnowyOwl; LongEaredOwl; LongEaredOwl; LongEaredOwl; BarnOwl; SnowyOwl; LongEaredOwl; 
Actual: LongEaredOwl; BarnOwl; BarnOwl; SnowyOwl; SnowyOwl; LongEaredOwl; LongEaredOwl; BarnOwl; SnowyOwl; BarnOwl; LongEaredOwl; SnowyOwl; SnowyOwl; LongEaredOwl; LongEaredOwl; BarnOwl; LongEaredOwl; LongEaredOwl; SnowyOwl; LongEaredOwl; LongEaredOwl; BarnOwl; SnowyOwl; BarnOwl; BarnOwl; LongEaredOwl; SnowyOwl; LongEaredOwl; SnowyOwl; SnowyOwl; BarnOwl; SnowyOwl; LongEaredOwl; BarnOwl; SnowyOwl; LongEaredOwl; BarnOwl; LongEaredOwl; SnowyOwl; LongEaredOwl; LongEaredOwl; LongEaredOwl; BarnOwl; SnowyOwl; LongEaredOwl; 
Accuracy: 93.33333333333333%
